path,sha256,bytes
dllmain.cpp,819738337ca471ee325ca7c0a45c0b963e17c82b028e138f532f18fa828721dd,6337
packages/Detours.4.0.1/.signature.p7s,d7e9ac12c154ebb2d5b220d015c64644dfc5d502c05ab2dc2fe32a3a0251c852,9466
packages/Detours.4.0.1/Detours.4.0.1.nupkg,178848d6d13ad1a83ced5a3aa24e73d76a5f113644e151b9c43ba132999f9118,507956
packages/Detours.4.0.1/build/native/Detours.targets,9ec919ba665f360db2d1da89f7c4dfb8dcfc85c9452d409b8be23c26e1dac211,871
packages/Detours.4.0.1/lib/native/include/detours.h,e70166e78afef39e1c4a6e182de1465f76c5d16d266c6a811991ce49da13a991,38390
packages/Detours.4.0.1/lib/native/include/detver.h,1324bbf731d202a37d2f9874279e1b5e2e47118c62662c0372208d4a88342549,720
packages/Detours.4.0.1/lib/native/include/syelog.h,2419b20ea21c352e3c3beb31750fee64a3ee442700050849c98a227471f11415,3534
packages/Detours.4.0.1/lib/native/libs/x86/detours.lib,58b7e6cdacc818707575fceb04b20b7f08d260d1205455a23ba39a47807882a7,534924
packages/Detours.4.0.1/lib/native/libs/x86/detours.pdb,560e4dd846a77b39dc8a8d46e1e4cdec95ab8bb435764cdf348f70c2f50f66ac,176128
packages/Detours.4.0.1/lib/native/libs/x86/syelog.lib,d8991f65948425cae852fbccd17cbc3c196fd57311b07d5dd6c89458cc36c902,44038
packages.config,960fbb5652d3abf5b154d722a09c9b30e43a0f03d356dd5f5910ca285d2c071b,161
xeSM3.ini,2088ec4b28e1006383de20373abc1f566342049bc559f3753226cd5218619e48,576
